image_id,category,置信度,score
55753,hill,0.5865,4.934693878
197237,trench,0.5396,5.721611722
706106,dentists_office,0.9921,5.436842105
230914,cathedral/outdoor,0.5052,5.138059701
822761,medina,0.67,5.657004831
207791,covered_bridge/exterior,0.8813,5.754010695
566765,ski_slope,0.5371,6.465437788
918738,kennel/outdoor,0.8092,5.663101604
772103,canal/urban,0.5004,6.08531746
272034,volcano,0.529,5.949541284
514297,parking_lot,0.9877,5.101382488
34880,burial_chamber,0.5809,4.487804878
787651,highway,0.8645,6.561576355
507593,athletic_field/outdoor,0.778,4.953051643
508043,underwater/coral_reef,0.6512,6.04526749
16944,garbage_dump,0.7607,5.163265306
110478,batters_box,0.6977,4.686792453
259910,marsh,0.9345,4.92476489
946661,balcony/interior,0.5493,5.108695652
14826,valley,0.8551,5.477832512
254873,badlands,0.9011,6.290697674
151835,bedroom,0.8378,4.08358209
69949,church/outdoor,0.6961,4.864661654
316564,wet_bar,0.8962,6.265454545
679965,home_office,0.8253,5.921568627
80764,windmill,0.9399,4.986622074
846768,forest_road,0.978,6.342465753
635731,trench,0.8448,5.788135593
491304,wet_bar,0.8437,6.141762452
239732,coffee_shop,0.9839,6.128526646
802967,hill,0.8109,5.443548387
56647,pulpit,0.706,5.446808511
606919,medina,0.9873,5.739130435
688224,dentists_office,0.682,4.868055556
173786,street,0.694,5.587570621
580556,car_interior/frontseat,0.6417,4.791666667
524047,butte,0.599,5.082417582
781644,dining_car,0.9902,5.684466019
569714,slum,0.6309,5.357843137
820991,gas_station,0.5618,5.226804124
39066,boat_deck,0.8835,3.950892857
301592,observatory/outdoor,0.8596,5.456193353
76087,building_facade,0.5212,6.015974441
907791,islet,0.5578,4.943548387
71626,residential_neighborhood,0.7435,5.0
795148,underwater/coral_reef,0.8656,4.75
228216,train_railway,0.9573,4.989795918
846691,balcony/interior,0.8322,4.254355401
657070,canal/natural,0.5615,5.604081633
389634,bathroom,0.962,4.56
475302,lock_chamber,0.6962,5.9
631359,marsh,0.7397,5.85492228
632225,doorway/outdoor,0.5393,5.477366255
482636,tower,0.7184,5.364779874
707160,coffee_shop,0.762,5.178947368
515779,desert/vegetation,0.5607,5.622881356
438027,garage/indoor,0.7883,5.886363636
72487,train_railway,0.7298,4.608058608
683257,wheat_field,0.9184,6.041666667
785946,medina,0.7291,6.594405594
374509,tower,0.7921,4.085
598902,tower,0.7158,5.592105263
56687,mountain_snowy,0.5706,5.98125
196213,phone_booth,0.9983,4.626297578
202064,playground,0.9749,4.659836066
199872,hayfield,0.9677,5.979661017
835893,childs_room,0.558,6.206666667
832899,veterinarians_office,0.5167,5.636363636
336926,batters_box,0.9249,5.752873563
490,highway,0.9687,6.168918919
404707,dentists_office,0.7891,5.732954545
23160,beauty_salon,0.6244,4.551401869
691472,beauty_salon,0.9529,6.376884422
529233,art_school,0.5753,5.634146341
648259,firing_range/indoor,0.9911,4.629807692
769252,clothing_store,0.6393,6.527559055
659218,fishpond,0.8098,4.688372093
